BCC-CSM2_370,CanESM5-CanOE_370,CNRM-CM6-1_370,CNRM-CM6-1-HR_370,CNRM-ESM2-1_370,GFDL-ESM4_370,INM-CM4-8_370,INM-CM5-0_370,IPSL-CM6A-LR_370,MRI-ESM2-0_370,BCC-CSM2_585,CanESM5-CanOE_585,CNRM-CM6-1_585,CNRM-CM6-1-HR_585,CNRM-ESM2-1_585,GFDL-ESM4_585,INM-CM4-8_585,INM-CM5-0_585,IPSL-CM6A-LR_585,MRI-ESM2-0_585
34.72,27.78,35.88,35.88,37.04,32.41,34.72,33.56,31.25,30.09,33.56,27.78,35.88,35.88,37.04,30.09,34.72,33.56,32.41,33.56
37.04,31.25,37.04,38.19,39.35,34.72,35.88,34.72,31.25,35.88,37.04,33.56,39.35,37.04,39.35,33.56,35.88,34.72,32.41,38.19
37.04,38.19,39.35,38.19,39.35,38.19,35.88,32.41,34.72,39.35,38.19,40.51,39.35,38.19,40.51,38.19,37.04,33.56,35.88,40.51
35.88,37.04,38.19,35.88,39.35,35.88,35.88,34.72,33.56,40.51,38.19,35.88,37.04,39.35,37.04,35.88,37.04,34.72,34.72,39.35
35.88,33.56,34.72,35.88,37.04,30.09,34.72,33.56,32.41,37.04,34.72,31.25,34.72,35.88,35.88,32.41,31.25,32.41,33.56,32.41
33.56,31.25,32.41,34.72,35.88,30.09,30.09,27.78,30.09,31.25,30.09,31.25,33.56,32.41,34.72,30.09,31.25,27.78,31.25,30.09
31.25,30.09,31.25,32.41,33.56,28.93,28.93,26.62,28.93,31.25,28.93,30.09,31.25,32.41,31.25,28.93,27.78,27.78,28.93,30.09
30.09,30.09,31.25,31.25,31.25,27.78,27.78,26.62,27.78,30.09,30.09,30.09,30.09,30.09,30.09,27.78,27.78,26.62,28.93,30.09
30.09,30.09,28.93,31.25,31.25,28.93,26.62,27.78,27.78,32.41,30.09,31.25,28.93,30.09,30.09,28.93,27.78,26.62,28.93,32.41
30.09,31.25,28.93,32.41,31.25,28.93,28.93,28.93,28.93,33.56,32.41,31.25,30.09,31.25,30.09,30.09,27.78,28.93,28.93,32.41
33.56,32.41,32.41,34.72,33.56,30.09,32.41,30.09,31.25,33.56,33.56,32.41,33.56,33.56,33.56,32.41,30.09,32.41,31.25,33.56
34.72,30.09,34.72,37.04,34.72,31.25,34.72,32.41,32.41,28.93,34.72,28.93,33.56,34.72,34.72,31.25,33.56,33.56,31.25,31.25
35.88,28.93,35.88,37.04,35.88,30.09,34.72,33.56,31.25,31.25,34.72,31.25,35.88,35.88,35.88,30.09,34.72,34.72,31.25,31.25
37.04,32.41,38.19,38.19,38.19,33.56,35.88,35.88,32.41,37.04,37.04,33.56,35.88,37.04,38.19,35.88,35.88,35.88,34.72,35.88
38.19,39.35,38.19,39.35,40.51,37.04,37.04,32.41,35.88,40.51,38.19,39.35,37.04,39.35,38.19,37.04,37.04,34.72,34.72,41.66
35.88,39.35,38.19,37.04,39.35,37.04,35.88,32.41,33.56,40.51,38.19,38.19,38.19,37.04,35.88,32.41,34.72,32.41,33.56,41.66
32.41,33.56,37.04,33.56,37.04,31.25,32.41,31.25,33.56,37.04,34.72,31.25,34.72,37.04,34.72,28.93,32.41,32.41,32.41,33.56
30.09,30.09,35.88,32.41,33.56,30.09,31.25,30.09,30.09,31.25,31.25,28.93,31.25,32.41,32.41,28.93,28.93,28.93,31.25,31.25
30.09,30.09,32.41,30.09,33.56,27.78,27.78,27.78,28.93,32.41,30.09,28.93,30.09,30.09,31.25,27.78,26.62,27.78,28.93,30.09
30.09,28.93,28.93,28.93,31.25,26.62,26.62,26.62,27.78,30.09,31.25,31.25,28.93,31.25,30.09,27.78,27.78,26.62,27.78,30.09
31.25,30.09,31.25,30.09,30.09,27.78,27.78,27.78,28.93,31.25,31.25,31.25,28.93,31.25,30.09,28.93,27.78,27.78,27.78,31.25
32.41,30.09,30.09,31.25,30.09,30.09,27.78,28.93,30.09,33.56,32.41,31.25,31.25,30.09,31.25,28.93,27.78,28.93,28.93,33.56
34.72,31.25,35.88,34.72,34.72,31.25,31.25,30.09,32.41,33.56,33.56,31.25,33.56,34.72,33.56,31.25,31.25,31.25,32.41,33.56
34.72,27.78,33.56,34.72,34.72,31.25,33.56,33.56,33.56,30.09,34.72,28.93,34.72,35.88,33.56,30.09,33.56,33.56,31.25,30.09
35.88,28.93,37.04,35.88,37.04,33.56,34.72,34.72,31.25,32.41,35.88,27.78,35.88,38.19,35.88,32.41,35.88,34.72,30.09,32.41
38.19,34.72,38.19,37.04,39.35,34.72,35.88,34.72,32.41,38.19,37.04,34.72,37.04,38.19,39.35,33.56,35.88,33.56,34.72,37.04
39.35,37.04,39.35,39.35,38.19,35.88,37.04,34.72,35.88,40.51,38.19,40.51,39.35,40.51,39.35,37.04,35.88,37.04,33.56,40.51
34.72,39.35,38.19,38.19,38.19,32.41,33.56,35.88,34.72,40.51,35.88,33.56,38.19,38.19,37.04,33.56,35.88,35.88,34.72,39.35
33.56,33.56,35.88,33.56,38.19,32.41,32.41,32.41,32.41,35.88,34.72,33.56,33.56,37.04,37.04,30.09,33.56,33.56,31.25,34.72
31.25,31.25,34.72,33.56,35.88,28.93,31.25,28.93,30.09,32.41,30.09,31.25,31.25,32.41,34.72,30.09,31.25,27.78,30.09,33.56
30.09,28.93,31.25,32.41,32.41,28.93,27.78,27.78,28.93,32.41,28.93,30.09,30.09,31.25,32.41,28.93,27.78,27.78,28.93,30.09
28.93,28.93,28.93,30.09,31.25,27.78,26.62,27.78,28.93,31.25,30.09,30.09,30.09,30.09,30.09,28.93,26.62,26.62,27.78,28.93
30.09,31.25,28.93,31.25,30.09,27.78,26.62,26.62,28.93,32.41,31.25,31.25,30.09,30.09,30.09,28.93,27.78,27.78,28.93,32.41
